2025-12-01 07:39:36.882 preparation for before engine
2025-12-01 07:39:36.882 doing enginization......
2025-12-01 07:39:36.882 exectue task [playbook_execution] on [all] started, msg: []
2025-12-01 07:39:38.164 exectue task [valicate var test_a] on [agent] ok, msg: [changed:False;msg:hello world]
2025-12-01 07:39:38.244 exectue task [print vars in group_var orin_x] on [agent] ok, msg: [changed:False;msg:hello orin_x_a]
2025-12-01 07:39:38.963 exectue task [Ensure the directory /tmp/directory exists] on [agent] ok, msg: [changed:True]
2025-12-01 07:39:39.783 exectue task [Copy /enginization/envs/test.env from controller to taijia] on [agent] ok, msg: [changed:True]
2025-12-01 07:39:40.219 exectue task [Set env for taijia and test env out] on [agent] failed, msg: [changed:True;rc:127;msg:non-zero return code]
2025-12-01 07:39:40.549 exectue task [Clean dir /tmp/test after setting envs failed] on [agent] ok, msg: [changed:True]
2025-12-01 07:39:40.580 exectue task [Show stdout after envs are setted successfully] on [agent] skipped, msg: []
2025-12-01 07:39:40.678 exectue task [Show stderr after envs are setted successfully] on [agent] failed, msg: [changed:False;msg:abnormal log here. /bin/sh: 1: source: not found]
2025-12-01 07:39:40.843 exectue task [playbook_execution] on [all] failed, msg: [rc:2]
2025-12-01 07:39:40.843 preparation for after engine
